PlotObservationID,cover,species
RS48,0.5,Dryopteris dilatata (Hoffm.) A.Gray
RS48,62.5,Fagus sylvatica L.
RS48,15,Vaccinium myrtillus L.
RS48,3,Oxalis acetosella L.
RS48,3,Abies alba Mill.
RS48,3,Sorbus aucuparia L. subsp. aucuparia
OP46,0.5,Luzula nivea (L.) DC.
OP46,0.5,Dryopteris filix-mas (L.) Schott
OP46,0.5,Veronica urticifolia Jacq.
OP46,0.5,Acer pseudoplatanus L.
OP46,0.5,Vaccinium myrtillus L.
OP46,0.5,Sorbus aucuparia L. subsp. aucuparia
OP46,0.5,Geranium nodosum L.
OP46,0.5,Campanula trachelium L. subsp. trachelium
OP46,87.5,Fagus sylvatica L.
OP46,15,Prenanthes purpurea L.
OP46,3,Anemone nemorosa L.
HD42,0.1,Peucedanum ostruthium (L.) W.D.J.Koch
HD42,0.5,Anemone nemorosa L.
HD42,0.5,Abies alba Mill.
HD42,0.5,Sorbus aucuparia L. subsp. aucuparia
HD42,0.5,Veronica urticifolia Jacq.
HD42,0.5,Stellaria nemorum L. subsp. montana (Pierrat) Berher
HD42,0.5,"Senecio ovatus (G.Gaertn., B.Mey. & Scherb.) Willd."
HD42,0.5,Geranium nodosum L.
HD42,0.5,Lactuca muralis (L.) Gaertn.
HD42,0.5,Acer pseudoplatanus L.
HD42,0.5,Cardamine bulbifera (L.) Crantz
HD42,0.5,Daphne mezereum L.
HD42,0.5,Ajuga reptans L.
HD42,87.5,Fagus sylvatica L.
HD42,37.5,Prenanthes purpurea L.
HD42,15,Athyrium filix-femina (L.) Roth
HD42,3,Dryopteris filix-mas (L.) Schott
HD42,3,Gymnocarpium dryopteris (L.) Newman
HD42,3,Rubus idaeus L. subsp. idaeus
HD42,3,Doronicum austriacum Jacq.
ZX92,0.5,Anemone nemorosa L.
ZX92,0.5,Abies alba Mill.
ZX92,0.5,Sorbus aucuparia L. subsp. aucuparia
ZX92,0.5,Veronica urticifolia Jacq.
ZX92,0.5,Gymnocarpium dryopteris (L.) Newman
ZX92,0.5,Vaccinium myrtillus L.
ZX92,0.5,Oxalis acetosella L.
ZX92,0.5,Luzula nivea (L.) DC.
ZX92,87.5,Fagus sylvatica L.
ZX92,15,Prenanthes purpurea L.
ZX92,15,Sorbus aria (L.) Crantz
ZX92,3,Dryopteris filix-mas (L.) Schott
ZX92,3,Hieracium murorum L.
RU21,0.5,Anemone nemorosa L.
RU21,0.5,Abies alba Mill.
RU21,0.5,Sorbus aucuparia L. subsp. aucuparia
RU21,0.5,Gymnocarpium dryopteris (L.) Newman
RU21,0.5,Oxalis acetosella L.
RU21,0.5,Dryopteris filix-mas (L.) Schott
RU21,0.5,Hieracium murorum L.
RU21,0.5,Acer pseudoplatanus L.
RU21,87.5,Fagus sylvatica L.
RU21,3,Prenanthes purpurea L.
RU21,3,Athyrium filix-femina (L.) Roth
AM30,0.1,Luzula nivea (L.) DC.
AM30,0.1,Lactuca muralis (L.) Gaertn.
AM30,0.5,Hieracium murorum L.
AM30,0.5,Veronica urticifolia Jacq.
AM30,0.5,Acer pseudoplatanus L.
AM30,0.5,Sorbus aucuparia L. subsp. aucuparia
AM30,0.5,Abies alba Mill.
AM30,0.5,Solidago virgaurea L.
AM30,0.5,Dryopteris filix-mas (L.) Schott
AM30,0.5,Athyrium filix-femina (L.) Roth
AM30,87.5,Fagus sylvatica L.
AM30,3,Prenanthes purpurea L.
TF90,0.5,Hieracium murorum L.
TF90,0.5,"Senecio ovatus (G.Gaertn., B.Mey. & Scherb.) Willd."
TF90,0.5,Solidago virgaurea L.
TF90,0.5,Acer pseudoplatanus L.
TF90,0.5,Sorbus aucuparia L. subsp. aucuparia
TF90,0.5,Veronica urticifolia Jacq.
TF90,62.5,Fagus sylvatica L.
TF90,15,Abies alba Mill.
TF90,15,Prenanthes purpurea L.
IG85,0.1,Oxalis acetosella L.
IG85,0.1,Hieracium murorum L.
IG85,0.1,Veronica officinalis L.
IG85,0.1,Neottia nidus-avis (L.) Rich.
IG85,0.1,Galeopsis tetrahit L.
IG85,0.5,"Senecio ovatus (G.Gaertn., B.Mey. & Scherb.) Willd."
IG85,0.5,Geranium nodosum L.
IG85,0.5,Lactuca muralis (L.) Gaertn.
IG85,0.5,Rubus hirtus Waldst. & Kit.
IG85,0.5,Cardamine chelidonia L.
IG85,62.5,Fagus sylvatica L.
IG85,15,Abies alba Mill.
IG85,15,Prenanthes purpurea L.
IG85,3,Dryopteris filix-mas (L.) Schott
IG85,3,Solidago virgaurea L.
DK44,0.1,Lactuca muralis (L.) Gaertn.
DK44,0.1,Poa nemoralis L. subsp. nemoralis
DK44,0.5,Sorbus aucuparia L. subsp. aucuparia
DK44,0.5,Oxalis acetosella L.
DK44,0.5,Dryopteris filix-mas (L.) Schott
DK44,0.5,Hieracium murorum L.
DK44,0.5,Prenanthes purpurea L.
DK44,0.5,Veronica urticifolia Jacq.
DK44,0.5,Luzula nivea (L.) DC.
DK44,0.5,"Senecio ovatus (G.Gaertn., B.Mey. & Scherb.) Willd."
DK44,87.5,Fagus sylvatica L.
DK44,3,Gymnocarpium dryopteris (L.) Newman
KJ39,0.5,Viola reichenbachiana Jord. ex Boreau
KJ39,0.5,Sorbus aucuparia L. subsp. aucuparia
KJ39,0.5,Oxalis acetosella L.
KJ39,0.5,Prenanthes purpurea L.
KJ39,0.5,Luzula nivea (L.) DC.
KJ39,0.5,Acer pseudoplatanus L.
KJ39,0.5,Stellaria nemorum L. subsp. montana (Pierrat) Berher
KJ39,0.5,Lactuca muralis (L.) Gaertn.
KJ39,0.5,Melica uniflora Retz.
KJ39,62.5,Fagus sylvatica L.
KJ39,37.5,Abies alba Mill.
KJ39,15,Galium odoratum (L.) Scop.
KJ39,3,Dryopteris filix-mas (L.) Schott
KJ39,3,Geranium robertianum L.
KJ39,3,Lamium galeobdolon (L.) L. subsp. montanum (Pers.) Hayek
DD98,0.1,"Senecio ovatus (G.Gaertn., B.Mey. & Scherb.) Willd."
DD98,0.1,Poa nemoralis L. subsp. nemoralis
DD98,0.1,Cystopteris fragilis (L.) Bernh.
DD98,0.5,Prenanthes purpurea L.
DD98,0.5,Geranium robertianum L.
DD98,0.5,Melica uniflora Retz.
DD98,0.5,Saxifraga rotundifolia L. subsp. rotundifolia
DD98,0.5,Galium odoratum (L.) Scop.
DD98,0.5,Stellaria nemorum L. subsp. montana (Pierrat) Berher
DD98,0.5,Luzula nivea (L.) DC.
DD98,0.5,Vaccinium myrtillus L.
DD98,62.5,Fagus sylvatica L.
DD98,15,Abies alba Mill.
DD98,3,Dryopteris filix-mas (L.) Schott
DD98,3,Galium rotundifolium L. subsp. rotundifolium
GM59,0.5,Luzula nivea (L.) DC.
GM59,0.5,Acer pseudoplatanus L.
GM59,0.5,Sorbus aucuparia L. subsp. aucuparia
GM59,0.5,Hieracium murorum L.
GM59,0.5,Oxalis acetosella L.
GM59,62.5,Fagus sylvatica L.
GM59,15,Abies alba Mill.
GM59,15,Vaccinium myrtillus L.
GM59,3,Prenanthes purpurea L.
GW56,0.1,Anemone nemorosa L.
GW56,0.5,Dryopteris filix-mas (L.) Schott
GW56,87.5,Fagus sylvatica L.
GW56,3,Oxalis acetosella L.
GW56,3,Stellaria nemorum L. subsp. montana (Pierrat) Berher
BL76,0.1,Saxifraga rotundifolia L. subsp. rotundifolia
BL76,0.5,Lamium galeobdolon (L.) L. subsp. montanum (Pers.) Hayek
BL76,0.5,Anemone nemorosa L.
BL76,0.5,Dryopteris filix-mas (L.) Schott
BL76,0.5,Lactuca muralis (L.) Gaertn.
BL76,0.5,Geranium robertianum L.
BL76,0.5,Veronica officinalis L.
BL76,0.5,Silene dioica (L.) Clairv.
BL76,0.5,Calamintha grandiflora (L.) Moench
BL76,87.5,Fagus sylvatica L.
BL76,15,Galium odoratum (L.) Scop.
BL76,3,Stellaria nemorum L. subsp. montana (Pierrat) Berher
BL76,3,Milium effusum L.
UD91,0.5,Gymnocarpium dryopteris (L.) Newman
UD91,0.5,Carex sylvatica Huds. subsp. sylvatica
UD91,87.5,Fagus sylvatica L.
UD91,15,Stellaria nemorum L. subsp. montana (Pierrat) Berher
UD91,3,Oxalis acetosella L.
UD91,3,Athyrium filix-femina (L.) Roth
OF90,0.1,Prenanthes purpurea L.
OF90,0.5,Hieracium murorum L.
OF90,0.5,Luzula nivea (L.) DC.
OF90,0.5,Dryopteris filix-mas (L.) Schott
OF90,0.5,Sorbus aria (L.) Crantz
OF90,87.5,Fagus sylvatica L.
OF90,62.5,Vaccinium myrtillus L.
OF90,3,Sorbus aucuparia L. subsp. aucuparia
OF90,3,Gymnocarpium dryopteris (L.) Newman
DT51,0.5,Prenanthes purpurea L.
DT51,0.5,Sorbus aucuparia L. subsp. aucuparia
DT51,0.5,Luzula nivea (L.) DC.
DT51,0.5,Hieracium murorum L.
DT51,37.5,Abies alba Mill.
DT51,37.5,Fagus sylvatica L.
DT51,15,Picea abies (L.) H.Karst.
DT51,3,Vaccinium myrtillus L.
XJ49,62.5,Quercus cerris L.
XJ49,3,Fraxinus ornus L. subsp. ornus
XJ49,15,Erica arborea L.
XJ49,3,Juniperus communis L.
XJ49,15,Quercus pubescens Willd.
XJ49,3,Pinus pinaster Aiton
XJ49,0.5,Rubia peregrina L. subsp. peregrina
XJ49,0.5,Hedera helix L.
XJ49,0.5,Trifolium pratense L.
XJ49,0.5,Tanacetum corymbosum (L.) Sch.Bip. subsp. corymbosum
XJ49,0.5,Stachys officinalis (L.) Trevis.
XJ49,0.5,Carex sylvatica Huds. subsp. sylvatica
XJ49,37.5,Brachypodium rupestre (Host) Roem. & Schult.
XJ49,3,Crataegus monogyna Jacq.
XJ49,0.5,Molinia caerulea (L.) Moench subsp. arundinacea (Schrank) K.Richt.
XJ49,0.5,Serratula tinctoria L. subsp. tinctoria
XJ49,0.5,Poa nemoralis L. subsp. nemoralis
XJ49,3,Rosa agrestis Savi
XJ49,0.5,Hieracium virgaurea Coss.
XJ49,0.5,Cruciata glabra (L.) C.Bauhin ex Opiz
XJ49,0.5,Ruscus aculeatus L.
XJ49,0.5,Juglans regia L.
XJ49,0.5,Viola reichenbachiana Jord. ex Boreau
XJ49,0.5,Oenanthe pimpinelloides L.
XJ49,0.5,Peucedanum cervaria (L.) Lapeyr.
XJ49,3,Malus florentina (Zuccagni) C.K.Schneid.
RC51,87.5,Eleocharis uniglumis (Link) Schult. subsp. uniglumis
RC51,3,Mentha aquatica L. subsp. aquatica
JH35,87.5,Eleocharis uniglumis (Link) Schult. subsp. uniglumis
JH35,3,Mentha aquatica L. subsp. aquatica
VL22,62.5,Molinia arundinacea Schrank
VL22,3,Scirpoides holoschoenus (L.) Soják
VL22,3,Dorycnium pentaphyllum Scop.
VL22,0.5,Stachys officinalis (L.) Trevis.
VL22,0.5,Agrostis stolonifera L.
VL22,3,Pulicaria dysenterica (L.) Bernh.
VL22,3,Mentha aquatica L. subsp. aquatica
VL22,0.5,Polygala flavescens DC.
VL22,15,Tetragonolobus maritimus (L.) Roth
VL22,0.5,Oenanthe pimpinelloides L.
VL22,0.5,Cornus mas L.
VL22,0.5,Fraxinus ornus L. subsp. ornus
VL22,0.5,Carex flacca Schreb.
VL22,0.1,Crepis leontodontoides All.
